id sire dam EBV sex
99 0 0  -12.75981515 1
100 0 0 -2.02526366 1
101 0 0 -4.80160342 2
102 0 0 -0.34324800 2
103 0 0 0.32971656 2
104 0 0 -2.82734256 2
105 0 0 -1.64736411 2
106 0 0 6.28450767 2
107 0 0 4.63928925 2
108 0 0 -6.56974159 2
109 0 0 4.83481434 2
110 0 0 -1.21456870 2
111 0 0 -3.58934929 2
112 0 0 5.30649638 2
113 0 0 -6.23744955 2
114 0 0 0.70107839 2
115 0 0 -9.45502394 2
116 0 0 -7.77088735 2
117 0 0 0.29017966 2
118 0 0 2.34724729 2
119 0 0 5.51523597 2
120 0 0 -0.76470004 2
121 0 0 7.06164333 2
122 0 0 6.45119876 2
123 0 0 4.75122198 2
124 0 0 -4.15741678 2
125 0 0 3.17331453 2
126 0 0 -6.50386514 2
127 0 0 -5.98479330 2
128 0 0 1.10619261 2
129 0 0 9.55898275 2
130 0 0 -0.94561418 2
131 0 0 -5.31501537 2
132 0 0 -0.75909348 2
133 0 0 6.25942514 2
134 0 0 4.93155137 2
135 0 0 5.32591424 2
136 0 0 2.74645698 2
137 0 0 13.66651674 2
138 0 0 -5.75942104 2
139 0 0 -1.92475169 2
140 0 0 3.21255965 2
141 0 0 -11.69771071 2
142 0 0 7.68233131 2
143 0 0 6.12288565 2
144 0 0 -2.93473771 2
145 0 0 -1.16293082 2
146 0 0 5.63459498 2
147 0 0 -2.60772935 2
148 0 0 -3.85767856 2
149 0 0 -1.13322911 2
150 0 0 0.03069736 2
151 0 0 -6.75875621 2
152 0 0 5.68173146 2
153 0 0 2.41923240 2
154 0 0 3.38008632 2
155 0 0 -0.84047015 2
156 0 0 -6.16180458 2
157 0 0 0.23559282 2
158 0 0 5.81407440 2
159 0 0 -9.11854632 2
160 0 0 5.75864799 2
161 0 0 -0.80289163 2
162 0 0 0.97536735 2
163 0 0 13.51017972 2
164 0 0 -3.87735183 2
165 0 0 -3.09616061 2
166 0 0 -4.30069581 2
167 0 0 3.17419304 2
168 0 0 -6.17745677 2
169 0 0 -2.68521378 2
170 0 0 -2.90824338 2
171 0 0 -3.11013890 2
172 0 0 0.15983232 2
173 0 0 -2.72666431 2
174 0 0 6.26182515 2
175 0 0 4.43958029 2
176 0 0 2.19220733 2
177 0 0 -4.15734963 2
178 0 0 6.50431575 2
179 0 0 15.11638682 2
180 0 0 2.66750041 2
181 0 0 4.73180032 2
182 0 0 -0.15245203 2
183 0 0 8.00829413 2
184 0 0 1.18740259 2
185 0 0 -4.88922335 2
186 0 0 -0.88347096 2
187 0 0 5.65703110 2
188 0 0 3.39569920 2
189 0 0 -8.54940866 2
190 0 0 -4.34840766 2
191 0 0 6.36681163 2
192 0 0 9.10959065 2
193 0 0 -1.42357146 2
194 0 0 1.59777734 2
195 0 0 0.40049742 2
196 0 0 -5.74124436 2
197 0 0 3.66432703 2
198 0 0 1.95524488 2
199 0 0 5.14944186 2
200 0 0 0.11398755 2
201 0 0 1.13892943 2
202 0 0 7.65912539 2
203 0 0 2.47095223 2
204 0 0 3.75019521 2
205 0 0 0.96608584 2
206 0 0 -12.81626744 2
207 0 0 -1.32347465 2
208 0 0 -5.34959933 2
209 0 0 -1.27580622 2
210 0 0 3.51600557 2
211 0 0 -5.35464489 2
212 0 0 -0.20734795 2
213 0 0 -1.35655598 2
214 0 0 -6.98997074 2
215 0 0 1.49147834 2
216 0 0 9.70755185 2
217 0 0 3.26839422 2
218 0 0 11.21845603 2
219 0 0 -2.01335978 2
220 0 0 3.50241138 2
221 0 0 2.79543858 2
222 0 0 1.65614519 2
223 0 0 9.84103842 2
224 0 0 7.62116184 2
225 0 0 -4.03023619 2
226 0 0 8.20934408 2
227 0 0 8.19806964 2
228 0 0 6.95645244 2
229 0 0 -1.45472840 2
230 0 0 -1.84207401 2
231 0 0 -5.41615404 2
232 0 0 5.42032119 2
233 0 0 7.73234573 2
234 0 0 2.93072680 2
235 0 0 -4.77891883 2
236 0 0 -0.61145549 2
237 0 0 -0.19844924 2
238 0 0 3.78914328 2
239 0 0 -3.93782689 2
240 0 0 -10.49941097 2
241 0 0 1.36971124 2
242 0 0 2.40381175 2
243 0 0 -4.26515559 2
244 0 0 5.95435416 2
245 0 0 0.64078263 2
246 0 0 -4.82386689 2
247 0 0 4.06526225 2
248 0 0 -0.55499530 2
249 0 0 1.99042636 2
250 0 0 3.11343004 2
251 0 0 1.35559144 2
252 0 0 -5.37469343 2
253 0 0 9.35438169 2
254 0 0 5.45578875 2
255 0 0 -3.94411862 2
256 0 0 1.45025257 2
257 0 0 -4.35364422 2
258 0 0 5.46074566 2
259 0 0 -1.98361407 2
260 0 0 5.87297936 2
261 0 0 -4.58719286 2
262 0 0 4.74054700 2
263 0 0 0.27850472 2
264 0 0 -2.40029774 2
265 0 0 5.74843492 2
266 0 0 2.09738741 2
267 0 0 2.20926055 2
268 0 0 -0.14249092 2
269 0 0 -3.34762353 2
270 0 0 -11.51107203 2
271 0 0 2.44186843 2
272 0 0 -2.78874893 2
273 0 0 7.35856688 2
274 0 0 1.86414269 2
275 0 0 1.80761921 2
276 0 0 0.27483072 2
277 0 0 -2.15297611 2
278 0 0 -8.58495902 2
279 0 0 0.84253240 2
280 0 0 -1.33486786 2
281 0 0 3.68831874 2
282 0 0 -3.09573931 2
283 0 0 3.60776250 2
284 0 0 4.37981036 2
285 0 0 2.36611518 2
286 0 0 2.09450530 2
287 0 0 -3.06717477 2
288 0 0 2.50094918 2
289 0 0 -6.99420979 2
290 0 0 -8.38831511 2
291 0 0 -1.84676390 2
292 0 0 -4.21117033 2
293 0 0 1.86497653 2
294 0 0 -0.09877362 2
295 0 0 1.34932766 2
296 0 0 3.47731265 2
297 0 0 -0.50643593 2
298 0 0 -9.10727319 2
299 0 0 2.98591241 2
300 0 0 4.70201399 2
301 0 0 3.13152926 2
302 0 0 -6.18157918 2
303 0 0 -0.44952396 2
304 0 0 4.18519691 2
305 0 0 -0.98377229 2
306 0 0 -5.56516199 2
307 0 0 2.60082367 2
308 0 0 5.55800330 2
309 0 0 -0.03111468 2
310 0 0 5.45513137 2
311 0 0 1.24739042 2
312 0 0 -4.92371492 2
313 0 0 4.42460977 2
314 0 0 -9.35645095 2
315 0 0 -7.86942424 2
316 0 0 7.00279283 2
317 0 0 0.46552110 2
318 0 0 -1.73282113 2
319 0 0 -5.65850289 2
320 0 0 1.94557881 2
321 0 0 8.99135602 2
322 0 0 2.52217817 2
323 0 0 -5.70179210 2
324 0 0 -1.98929527 2
325 0 0 1.42168542 2
326 0 0 9.51064157 2
327 0 0 9.64548309 2
328 0 0 1.57968314 2
329 0 0 5.15509717 2
330 0 0 0.12198806 2
331 0 0 -0.02543368 2
332 0 0 -0.30216498 2
333 0 0 -10.03023847 2
334 0 0 6.83449151 2
335 0 0 8.80886528 2
336 0 0 5.88727324 2
337 0 0 -6.37577992 2
338 0 0 -4.87633924 2
339 0 0 -2.07597861 2
340 0 0 5.51086944 2
341 0 0 4.41238935 2
342 0 0 4.74258423 2
343 0 0 -4.82659080 2
344 0 0 -7.67154822 2
345 0 0 -0.53916097 2
346 0 0 1.39033997 2
347 0 0 -5.09307075 2
348 0 0 13.53036219 2
349 0 0 0.79992400 2
350 0 0 1.74156407 2
351 0 0 -0.61166208 2
352 0 0 6.15701957 2
353 0 0 7.58235595 2
354 0 0 12.00782336 2
355 0 0 10.53536741 2
356 0 0 0.47654027 2
357 0 0 -0.45517372 2
358 0 0 3.99302681 2
359 0 0 5.76730774 2
360 0 0 6.27998337 2
361 0 0 4.24247884 2
362 0 0 1.62588298 2
363 0 0 -4.21160147 2
364 0 0 -4.71995299 2
365 0 0 -4.37165842 2
366 0 0 2.68738671 2
367 0 0 3.92681503 2
368 0 0 2.36611893 2
369 0 0 4.17802149 2
370 0 0 -7.04944839 2
371 0 0 1.29857485 2
372 0 0 4.54187277 2
373 0 0 9.04181284 2
374 0 0 -2.88408742 2
375 0 0 -0.55855138 2
376 0 0 -5.34264255 2
377 0 0 4.63214823 2
378 0 0 2.72742006 2
379 0 0 2.89276479 2
380 0 0 -3.16086840 2
381 0 0 -0.11412043 2
382 0 0 6.20693224 2
383 0 0 -0.22855277 2
384 0 0 -0.23630008 2
385 0 0 -7.07164107 2
386 0 0 -7.34125145 2
387 0 0 4.65982880 2
388 0 0 3.47353795 2
389 0 0 3.81499424 2
390 0 0 -3.33678878 2
391 0 0 1.49842996 2
392 0 0 1.37022367 2
393 0 0 1.30312038 2
394 0 0 5.11571226 2
395 0 0 2.65187367 2
396 0 0 5.92032169 2
397 0 0 0.46567462 2
398 0 0 -0.78987113 2
399 0 0 7.58002829 2
400 0 0 3.34193142 2
401 0 0 2.20224097 2
402 0 0 -0.28076216 2
403 0 0 -3.40173368 2
404 0 0 10.03112860 2
405 0 0 7.74413034 2
406 0 0 5.05189915 2
407 0 0 -4.81904423 2
408 0 0 -0.69818026 2
409 0 0 -3.05708862 2
410 0 0 7.61756098 2
411 0 0 0.17413896 2
412 0 0 0.42227128 2
413 0 0 0.95023256 2
414 0 0 -0.15311230 2
415 0 0 4.20013755 2
416 0 0 0.30864743 2
417 0 0 -1.38450257 2
418 0 0 -2.03155304 2
419 0 0 -1.13101021 2
420 0 0 -6.44470613 2
421 0 0 0.30404127 2
422 0 0 5.42398737 2
423 0 0 -4.06142328 2
424 0 0 2.20647365 2
425 0 0 -0.43750918 2
426 0 0 -10.85401103 2
427 0 0 3.88206249 2
428 0 0 1.96102017 2
429 0 0 -1.58599780 2
430 0 0 -5.79159079 2
431 0 0 -2.77409837 2
432 0 0 -1.00898854 2
433 0 0 -0.45059665 2
434 0 0 -1.31167298 2
435 0 0 1.21200744 2
436 0 0 -3.87110285 2
437 0 0 6.91071970 2
438 0 0 -3.02141826 2
439 0 0 -2.42254590 2
440 0 0 0.19784376 2
441 0 0 -0.16659227 2
442 0 0 -4.56831619 2
443 0 0 -0.53440477 2
444 0 0 -7.26218062 2
445 0 0 -3.49968590 2
446 0 0 -0.74672350 2
447 0 0 -2.92891491 2
448 0 0 -1.46495097 2
449 0 0 10.57143137 2
450 0 0 5.62520808 2
451 0 0 -1.89943362 2
452 0 0 3.18149434 2
453 0 0 -6.23002228 2
454 0 0 1.09396808 2
455 0 0 -3.42706719 2
456 0 0 -5.09696738 2
457 0 0 -6.93766845 2
458 0 0 -1.16699740 2
459 0 0 1.19938667 2
460 0 0 5.18749764 2
461 0 0 6.23790028 2
462 0 0 6.36917854 2
463 0 0 8.85463272 2
464 0 0 2.18097248 2
465 0 0 3.79300745 2
466 0 0 -3.86894339 2
467 0 0 9.88868213 2
468 0 0 9.01871662 2
469 0 0 5.90239271 2
470 0 0 0.66200458 2
471 0 0 3.66611459 2
472 0 0 -2.86786812 2
473 0 0 7.24646418 2
474 0 0 0.79419183 2
475 0 0 0.71456510 2
476 0 0 5.62864820 2
477 0 0 -2.86160430 2
478 0 0 2.54979248 2
479 0 0 -1.26951974 2
480 0 0 5.61177307 2
481 0 0 -2.54847315 2
482 0 0 2.13554773 2
483 0 0 0.44266273 2
484 0 0 -3.97910348 2
485 0 0 -0.08111068 2
486 0 0 2.54202828 2
487 0 0 -3.53652523 2
488 0 0 -1.51426493 2
489 0 0 -1.40130010 2
490 0 0 -4.56201200 2
491 0 0 6.94153069 2
492 0 0 0.49472673 2
493 0 0 0.74724594 2
494 0 0 0.09407773 2
495 0 0 -1.00419113 2
496 0 0 4.90335132 2
497 0 0 1.03725121 2
498 0 0 -11.75267475 2
499 0 0 -3.40173398 2
500 0 0 3.10779430 2
501 0 0 3.42627353 2
502 0 0 -4.71477195 2
503 0 0 4.68923957 2
504 0 0 8.35227839 2
505 0 0 -5.03373262 2
506 0 0 0.23753204 2
507 0 0 4.73007905 2
508 0 0 1.07678415 2
509 0 0 -2.29503781 2
510 0 0 2.62614168 2
511 0 0 0.22132457 2
512 0 0 2.07993566 2
513 0 0 -1.26098883 2
514 0 0 -3.28535472 2
515 0 0 4.65243918 2
516 0 0 1.68061751 2
517 0 0 0.11046114 2
518 0 0 -0.39861839 2
519 0 0 9.41213850 2
520 0 0 1.93395990 2
521 0 0 1.11223777 2
522 0 0 -1.02504150 2
523 0 0 -12.85438027 2
524 0 0 -5.18535388 2
525 0 0 2.46072981 2
526 0 0 -4.46530913 2
527 0 0 0.29658470 2
528 0 0 -5.02006271 2
529 0 0 -2.53724327 2
530 0 0 -4.23809328 2
531 0 0 8.52918373 2
532 0 0 -3.00012705 2
533 0 0 -8.22992459 2
534 0 0 2.93380184 2
535 0 0 -2.46093075 2
536 0 0 -2.82936961 2
537 0 0 -2.70246776 2
538 0 0 -4.52144279 2
539 0 0 2.62675177 2
540 0 0 -6.49450092 2
541 0 0 2.59854652 2
542 0 0 -3.06960246 2
543 0 0 -0.61378969 2
544 0 0 1.62573201 2
545 0 0 -11.13467525 2
546 0 0 1.10076181 2
547 0 0 1.66471302 2
548 0 0 -2.65813150 2
549 0 0 2.12717761 2
550 0 0 -2.56381694 2
551 0 0 1.10167836 2
552 0 0 9.47261509 2
553 0 0 5.41931076 2
554 0 0 1.44472906 2
555 0 0 -7.56932394 2
556 0 0 -6.83437373 2
557 0 0 1.39104944 2
558 0 0 1.11107770 2
559 0 0 7.32128608 2
560 0 0 6.42796903 2
561 0 0 1.93051913 2
562 0 0 10.51882211 2
563 0 0 -5.55623388 2
564 0 0 1.71123596 2
565 0 0 -0.37611890 2
566 0 0 -5.09539077 2
567 0 0 -3.55579640 2
568 0 0 -1.68024995 2
569 0 0 5.01102379 2
570 0 0 1.13003570 2
571 0 0 -10.64692506 2
572 0 0 -3.32558431 2
573 0 0 1.09647623 2
574 0 0 -9.04096557 2
575 0 0 2.98098578 2
576 0 0 6.10470756 2
577 0 0 -4.53618029 2
578 0 0 3.12383464 2
579 0 0 -6.15029228 2
580 0 0 0.52921582 2
581 0 0 -1.23348103 2
